Feature,Importance
model CX-7,146.1896600439288
levy 586,146.07253466796612
mileage 31869 km,145.6207762029786
levy 980,145.36589400622435
manufacturer SUZUKI,144.20668361082423
mileage 179746 km,144.01284052451527
model Quest,143.82952639218274
mileage 171000 km,143.50606379386434
mileage 74000 km,143.22913281732167
levy 1817,142.89903839669847
mileage 1669 km,142.89903752014226
mileage 5000 km,142.16106483132415
model Viano,142.06597891586284
mileage 25000 km,142.05274590693207
mileage 81000 km,141.48851421809763
mileage 284251 km,141.31601197090603
color Golden,140.56762218306147
mileage 177080 km,139.0415942302391
mileage 361603 km,138.9822145566162
model Murano,138.74982308331417
mileage 17542 km,138.6395519147782
mileage 115974 km,138.48661714241123
levy 1356,138.36334594451256
mileage 156000 km,138.28630832446427
model Korando,138.24502033694571
mileage 130478 km,138.1278556797521
mileage 136712 km,138.08372235191814
mileage 57554 km,137.9323751065798
mileage 174619 km,137.50427763157822
mileage 102000 km,137.40009307478795
mileage 111000 km,137.2905943970954
mileage 17741 km,137.19152049273922
manufacturer GMC,137.07240905867306
mileage 91493 km,136.95309455121628
mileage 245762 km,136.88372367275426
levy 830,136.42741966348052
manufacturer BUICK,136.0944318625522
model Aveo,135.82848006549247
levy 1694,134.83584626758773
mileage 131893 km,134.83410392291273
model Tundra,134.4315511722818
model RX 450 HYBRID,133.79957254840437
levy 746,133.69370264044247
levy 1090,133.1390062397115
mileage 97000 km,132.81654684309254
mileage 186542 km,132.42537473898452
mileage 132000 km,131.729016604337
levy 1598,131.08355801674662
model ES 350,130.78528850780214
mileage 196682 km,129.69262430006432
mileage 145000 km,129.64810793757513
mileage 102397 km,129.46376230372
mileage 50930 km,129.39828835021143
model NX 200,129.11056467660134
levy 503,128.5704681422923
manufacturer INFINITI,128.28496658869918
mileage 162032 km,128.15552046761508
mileage 71939 km,127.54596254214901
mileage 280354 km,127.3383378763013
mileage 232554 km,126.9339166388325
levy 289,126.73532511375129
mileage 15000 km,125.58855685839261
mileage 43178 km,125.06903841163358
mileage 32000 km,124.76965842927844
model 1500,124.66010916419815
mileage 266061 km,123.99299177956172
mileage 104795 km,122.93987345559562
levy 1099,122.60002532657305
levy 448,122.44954077483547
model Wrangler,122.43071923964837
mileage 77130 km,122.35666507316593
mileage 192683 km,122.15743208538473
model ML 350 4 MATIC,121.98845493588486
mileage 109000 km,121.65536869326226
mileage 33000 km,120.70712603844282
mileage 186048 km,120.1908911645822
model Passat,120.09312815138382
levy 834,119.78893825015481
model GX 470,119.41349078822151
levy 518,119.35500975330659
mileage 130000 km,119.32210712329767
mileage 82000 km,118.96538154462496
mileage 12000 km,118.59053914301344
mileage 157584 km,118.56634244121067
model Mazda 6,118.34253503598418
mileage 135730 km,118.08274636481659
model F-pace,117.89657627146732
color Sky blue,117.77342759099628
mileage 141000 km,117.25043837485075
mileage 229904 km,117.19707742320885
model 4Runner,116.87921690094852
model Prius C,116.3269256993078
mileage 146403 km,116.2004169405804
levy 1211,116.14513581062198
mileage 187334 km,116.05305446396578
levy 475,115.792541817036
model Orlando,115.70171790653382
mileage 126690 km,115.42424596582957
mileage 98000 km,115.21648884153238
mileage 56834 km,114.98019208053363
mileage 19000 km,114.93079372980915
model Traverse,114.9237301727144
mileage 129931 km,114.13868984754261
mileage 166013 km,113.8609661086873
mileage 194974 km,113.71645636155553
mileage 63000 km,113.71014185450606
mileage 201056 km,113.2880188382194
mileage 448982 km,113.17645865887022
mileage 100000 km,113.04603544189924
levy 1375,112.91154568319179
model Camaro,112.67270778273206
model Century,112.49827566115184
model Venza,112.26233555628566
color Brown,112.11646373558436
mileage 224118 km,111.86445316166078
model 200,111.79382702828039
mileage 174926 km,111.69653589657266
levy 978,111.57356689485694
model 750,111.43610701280444
mileage 188419 km,111.30189687682683
mileage 261928 km,110.58948506279849
levy 474,110.24549510089912
mileage 148213 km,110.13278683012084
mileage 99000 km,110.04758337544035
mileage 55510 km,109.94451547709716
mileage 88475 km,109.81637738937269
mileage 95987 km,109.48559861343354
mileage 74688 km,109.30753672910363
model Avella,109.03501220492235
mileage 32974 km,108.69152041902844
model CC,108.53428043133665
mileage 140507 km,108.3458966892972
levy 1249,107.7793353356114
mileage 133000 km,107.76955211217793
mileage 132320 km,107.64166433024927
mileage 225510 km,107.47933173882562
mileage 259184 km,106.62509538294087
levy 1481,106.55616841609536
levy 879,106.37788573269017
mileage 123862 km,106.33603979003375
mileage 100747 km,106.095553314345
mileage 115312 km,105.8113003122288
color Green,105.71270500996026
levy 690,105.47106574509043
model Tiida,105.35027796131077
levy 1304,104.9314559294083
mileage 34000 km,104.57037404186934
mileage 170429 km,104.43762925664217
mileage 55403 km,104.14225409221464
model 616,103.96154368068383
levy 447,103.76463082775174
model Versa,103.69364242811153
mileage 224349 km,103.6769158738255
levy 1872,103.24102392796661
levy 961,103.03816853223184
mileage 162000 km,102.9755079463683
mileage 420550 km,102.75102375120197
mileage 111285 km,102.54708773666358
mileage 72613 km,102.31026784459695
mileage 47672 km,101.91590309346748
mileage 79000 km,101.85540355545095
levy 1051,101.79774714267944
model Countryman,101.72068941702663
model Vito,101.2407735760164
mileage 42395 km,100.83329375947173
mileage 247835 km,100.2424095072023
levy 442,100.02081741891085
mileage 57000 km,99.90101245903459
mileage 39814 km,99.38791337165023
mileage 122874 km,99.23563647629663
mileage 124493 km,99.16480339117398
mileage 151000 km,99.05388831840075
mileage 138491 km,98.9032016962361
mileage 14950 km,98.84948956972397
model RIO,98.63215904434655
mileage 59099 km,98.4675164008842
mileage 117000 km,98.3317072108275
mileage 58328 km,98.19204702517216
mileage 213195 km,97.88203397674229
mileage 69000 km,97.84800003336173
mileage 152000 km,97.65233188779963
mileage 226251 km,97.35109552227523
mileage 168966 km,97.10538855179165
mileage 116869 km,97.06782298388616
mileage 275862 km,97.01500400754763
model EX37,96.76013017781612
mileage 221126 km,96.6160027357062
mileage 172502 km,96.46688620743214
mileage 130306 km,96.37385917766204
mileage 153888 km,95.655244228792
model Cayenne,95.58102941602274
levy 1296,95.00093851772563
mileage 52000 km,94.74391562587816
levy 1624,94.5052460182964
mileage 248525 km,94.42162735527047
mileage 109139 km,94.38938017472546
mileage 300366 km,94.32829276792494
mileage 220000 km,94.27093650184054
levy 1399,94.2473508296561
levy 924,94.06907691916517
mileage 55000 km,94.04991448775617
model E 250,93.79655466193046
levy 666,93.79655445484488
levy 1194,93.72199643573165
levy 1053,93.50842461486226
mileage 18438 km,93.48642091147885
mileage 51000 km,93.04339045053239
mileage 250000 km,92.89486042928606
model Challenger,92.47874785655458
mileage 121600 km,92.33883327825062
levy 1705,92.2856952012631
mileage 59331 km,91.90148684372951
mileage 188194 km,91.83263291969755
mileage 118000 km,91.54379516960192
model ML 320,91.51932894703113
mileage 109336 km,91.44061038712924
mileage 187000 km,91.36038842787659
mileage 175614 km,91.14858066739934
mileage 92213 km,90.9978250850907
mileage 76000 km,90.7965261093139
mileage 84000 km,90.78280196668277
mileage 249600 km,90.64560631584993
model Journey,90.22469672138553
levy 155,90.22425561514973
model Prius,89.91366518102039
mileage 51824 km,89.80421578839707
levy 722,89.00720005075021
mileage 59340 km,89.00720003652631
mileage 193504 km,88.90420569102817
mileage 215965 km,88.8971833032372
levy 650,88.79541815620962
mileage 74562 km,88.63127044504908
model Kyron,88.61725209672363
model Avenger,88.57162066280395
model GLK 350,88.56222709071116
mileage 107155 km,88.52697359755967
mileage 79080 km,88.52166236503793
model A8,88.35362127076127
model Sienna,88.190132681248
mileage 164000 km,88.09536098217328
mileage 49272 km,88.02340837231463
model IS 200,87.928829079117
model CLA 250,87.86544459743988
mileage 85944 km,87.56091790241473
mileage 15744 km,87.41257039428588
mileage 216208 km,87.32786469574509
category Goods wagon,87.14509942637089
model CHR,87.05011008263347
mileage 397915 km,86.86701552572357
mileage 71904 km,86.74962079830333
mileage 126021 km,86.70846010381479
manufacturer MERCEDES-BENZ,86.4415984060321
mileage 48000 km,86.42527617062885
mileage 138070 km,86.23066063201895
mileage 278989 km,86.02244397896507
mileage 321269 km,85.98430592075655
mileage 98466 km,85.69079497125851
mileage 36700 km,85.58923020580966
mileage 32170 km,85.30819984269625
mileage 58971 km,85.26211992812088
levy 2070,85.2621198885282
mileage 93816 km,85.2532988104346
levy 2108,85.22288203857815
mileage 18555 km,85.21816640167923
mileage 226814 km,85.1090433976194
mileage 14186 km,84.97008763661066
mileage 94638 km,84.81636631816461
levy 769,84.68432619846591
model Lacetti,84.30333567562609
mileage 129000 km,83.97570827073373
mileage 178000 km,82.97089427406243
mileage 119000 km,82.9548086863334
mileage 62575 km,82.89769173688485
mileage 61057 km,82.75141601815767
model A3,82.72644453366927
mileage 165581 km,82.62305672734706
mileage 493571 km,82.2652694780861
mileage 79769 km,82.21841839958807
mileage 94000 km,82.15139613516541
model CLA 250 AMG,82.1125038501971
mileage 34481 km,82.01211720016033
mileage 167158 km,81.95621515951083
model TERRAIN,81.92119418421527
levy 1205,81.83889161470059
model C 300,81.75134066667901
model March,81.68838944936729
levy 1391,81.43354208699418
mileage 11746 km,80.90378244964967
mileage 155976 km,80.85317421591033
model X5 35d,80.58535044745727
levy 397,80.57646197057737
mileage 103358 km,80.53797895501954
levy 764,80.22473055651584
model RAV 4 se,79.93583982119047
mileage 100658 km,79.79777747446262
model Cadenza,79.70432524096672
mileage 84800 km,79.68121012726577
mileage 59200 km,79.6211056883802
mileage 156518 km,79.35663450178532
model 1300,79.27902657533139
mileage 62256 km,79.21315126239787
mileage 107000 km,79.15469435999253
mileage 195200 km,79.04565398462968
mileage 13715 km,78.74535857493119
mileage 60000 km,78.70564010549434
model Sorento,78.50949396543234
mileage 181189 km,78.19025465001214
mileage 4000 km,78.13442800400757
model 50,78.13442799720463
model Cooper,77.91447380719316
model 535 I,77.82287923071428
mileage 174827 km,77.7449119352754
mileage 41000 km,77.35959194592199
mileage 169600 km,77.25762976414411
mileage 67365 km,77.21973237126423
mileage 247877 km,77.16779858753351
mileage 342622 km,77.05724114030231
model Pilot,77.03221685626482
model S 550 ჰიბრიდი,76.85484091013187
mileage 688000 km,76.85484083335325
levy 1848,76.85484081892481
mileage 36304 km,76.82800061339952
mileage 87141 km,76.68294463780386
mileage 78006 km,76.59639072100164
mileage 34030 km,76.50631991450598
mileage 221312 km,76.47143782827631
levy 966,76.288681327083
mileage 102313 km,76.2425180835363
levy 1113,76.2346234589794
mileage 205968 km,76.18528723184353
levy 531,76.10326243142767
levy 247,75.82663330237048
model S 350,75.80510327743112
levy 843,75.64272642746388
mileage 44000 km,75.56131950103111
levy 579,75.55879538334449
mileage 339920 km,75.48573100084911
mileage 109555 km,75.41647841427678
mileage 87681 km,75.3548005746466
mileage 26166 km,75.35267877685477
model Cooper S Cabrio,75.19143313876333
mileage 42554 km,75.04881579384787
mileage 90680 km,75.02226710422885
mileage 41891 km,74.94919112824688
mileage 47074 km,74.81867177724664
mileage 68920 km,74.67773234913824
levy 1288,74.66505984140107
mileage 408997 km,74.59944607372903
mileage 272189 km,74.52178590146384
mileage 105751 km,74.51966481355487
mileage 88033 km,74.46525956108239
mileage 77231 km,74.35154525439607
mileage 94362 km,74.21778544659301
mileage 239224 km,73.75840857762624
mileage 248000 km,73.35327408345746
mileage 367720 km,73.32683223518029
mileage 42563 km,73.25508150520028
mileage 140200 km,73.21240552006851
mileage 59515 km,73.11264637940461
mileage 50310 km,72.98840100091446
mileage 159000 km,72.98335780741701
mileage 80000 km,72.93030070910321
mileage 138742 km,72.81686734234947
mileage 47897 km,72.76104406577917
levy 1451,72.66238793243606
mileage 11566 km,72.64423704466716
mileage 360125 km,72.43067520063826
levy 3505,72.43067483759454
mileage 62230 km,72.1900282187893
mileage 93555 km,72.12746475433427
mileage 90392 km,72.01792662520644
mileage 118366 km,71.91692259192051
mileage 29939 km,71.6386042592529
mileage 139363 km,71.48075508271553
mileage 34900 km,71.47415000611208
mileage 245000 km,71.46464266922796
mileage 27812 km,71.31078574674723
mileage 56476 km,71.04754149975138
mileage 80245 km,70.92486516006849
mileage 260133 km,70.78184587092466
mileage 121956 km,70.77058523682224
mileage 24805 km,70.70517466617356
mileage 9027 km,70.61766076766604
mileage 97400 km,70.55602497102355
mileage 254805 km,70.52557559615866
mileage 30930 km,70.51235217376912
mileage 66599 km,70.09395152276855
mileage 311949 km,69.94594927842071
mileage 110685 km,69.9456215559571
model Pathfinder,69.92934182208992
mileage 344193 km,69.89292029058606
mileage 37844 km,69.85537733171347
mileage 173213 km,69.77881944089266
mileage 193000 km,69.66205255752793
mileage 181900 km,69.62190749284964
levy 955,69.62190735957063
mileage 54400 km,69.46478756576907
mileage 48042 km,69.43917643611925
mileage 23000 km,69.37405752401303
model macan,69.20711906510945
mileage 28840 km,69.20711897374737
mileage 223000 km,69.0456731873422
mileage 62000 km,68.98609075325892
mileage 110098 km,68.78474532228286
mileage 73960 km,68.63838071953819
mileage 77158 km,68.63814980890551
model Camry XLEi,68.62762218539837
mileage 127000 km,68.62469078199395
mileage 99200 km,68.61315252295225
levy 1047,68.55375313701536
mileage 34454 km,68.54003501336636
levy 363,68.53126716698662
mileage 291840 km,68.53116730194735
mileage 50000 km,68.46189071229803
mileage 104000 km,68.4367680797685
color Carnelian red,68.31504730183799
mileage 138211 km,68.25086403918478
mileage 26134 km,68.2455719350916
mileage 104667 km,68.15296444520601
mileage 73000 km,68.11426090529935
mileage 41500 km,67.97375909353757
mileage 24148 km,67.97173794262508
model IS 300,67.85038330452703
mileage 21261 km,67.8503832187698
mileage 66522 km,67.69925451648166
mileage 193267 km,67.66874054109334
mileage 99542 km,67.48695147238843
mileage 99971 km,67.44591538351833
mileage 63750 km,67.262436543907
mileage 105909 km,67.1307775371765
mileage 125675 km,67.08301794588252
mileage 51200 km,66.97465426914118
mileage 28899 km,66.93973469845608
mileage 58414 km,66.86944807824443
mileage 114382 km,66.61703722922965
mileage 89758 km,66.5727752833909
mileage 48605 km,66.52388556325478
mileage 38037 km,66.47249070050879
mileage 75000 km,66.45138300025359
mileage 95541 km,66.37374869795839
model Land Cruiser,66.36304863124654
model Land Cruiser Prado,66.33825275433574
mileage 20955 km,66.33564758732173
mileage 61635 km,66.12133036556575
mileage 47181 km,66.11314785897561
mileage 320554 km,66.08140476476447
mileage 78000 km,65.98673866934477
mileage 63645 km,65.95942716465777
mileage 236016 km,65.82513558237237
mileage 32692 km,65.81459502688548
mileage 71717 km,65.68213930856642
mileage 111402 km,65.49903472239517
mileage 87196 km,65.47818678128714
mileage 122497 km,65.38081446511224
manufacturer MITSUBISHI,65.32406032169852
mileage 88795 km,65.30977981681966
mileage 108826 km,65.28388565076442
model RC F,65.20005875270489
mileage 81163 km,65.17950011227303
mileage 43420 km,65.17683456270844
mileage 28421 km,65.100953643165
mileage 35000 km,64.98348053013657
mileage 173101 km,64.94550399668667
mileage 336000 km,64.9372469197598
mileage 113102 km,64.88181505675405
mileage 157000 km,64.81053138224098
model S 400,64.75005332334774
mileage 89600 km,64.74556259506554
mileage 143619 km,64.70794598956337
mileage 44445 km,64.50461599019515
mileage 394069 km,64.4679015048532
mileage 74438 km,64.45645868016096
mileage 35643 km,64.40760579264756
mileage 101816 km,64.32058193466922
mileage 119038 km,64.28905733913051
mileage 128919 km,63.977269338557946
mileage 86189 km,63.92799765622791
mileage 48400 km,63.921017065306586
mileage 60741 km,63.90548355759208
mileage 106055 km,63.75878034812811
mileage 94262 km,63.72913218365838
model GL 350 დიზელი,63.60369301485285
mileage 51115 km,63.56116649952854
mileage 277614 km,63.419609262690436
mileage 198891 km,63.37601082139038
mileage 2102 km,63.27620857947662
mileage 232032 km,63.25858739153951
mileage 167222 km,63.231216419999456
mileage 68009 km,63.152494322227454
mileage 34343 km,63.06073846380833
mileage 183000 km,63.02696306712266
mileage 105757 km,62.942958160392266
mileage 190875 km,62.9059759097245
mileage 285186 km,62.866385146994375
mileage 44642 km,62.80780196200931
mileage 25970 km,62.78308670784634
mileage 54930 km,62.76605990458003
levy 1823,62.75241208600426
mileage 127923 km,62.72029314439716
mileage 136542 km,62.56005237234896
mileage 54307 km,62.554699729901856
mileage 19080 km,62.50024293686684
mileage 110051 km,62.4631312660485
mileage 180800 km,62.44621329827693
mileage 61600 km,62.435744704963525
manufacturer VOLVO,62.4127883487881
mileage 49829 km,62.400359772644705
mileage 102400 km,62.13877054143289
mileage 153115 km,62.12773050241648
mileage 24696 km,62.08393261275597
mileage 121902 km,62.07983623305244
mileage 23229 km,61.935842504309484
mileage 201634 km,61.8996211498845
levy 446,61.82235484097317
mileage 142400 km,61.77961526770098
mileage 114526 km,61.75970397201489
mileage 22000 km,61.65446111584208
mileage 107664 km,61.62098934652553
model X-Terra,61.554854949310034
mileage 126465 km,61.43113613241897
mileage 5700 km,61.24745331918784
levy 889,61.10194936112452
mileage 38639 km,60.996991522177964
mileage 33555 km,60.88639945909884
mileage 62194 km,60.73306755585487
model M4,60.733067546524914
mileage 74592 km,60.668262874270866
mileage 29675 km,60.62912888254229
levy 1342,60.58624247747491
levy 988,60.577673149380125
mileage 71309 km,60.532432981608565
model E 220,60.48045791332095
mileage 142800 km,60.44103975799631
mileage 112523 km,60.27464442506275
mileage 54000 km,60.077031751679975
mileage 129177 km,60.02497449022175
mileage 54865 km,60.01367071541463
mileage 179520 km,59.971001320247446
